# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
CustomCtrl_%CustomCtrl_%Add-Ins%FormIt Converter%Convert RFA to FormIt	Convert RFAto FormIt	RFA를 FormIt으로 변환
CustomCtrl_%CustomCtrl_%Add-Ins%RevitDBLink%RevitDBLink	Revit DB Link	Revit DB Link
CustomCtrl_%CustomCtrl_%Add-Ins%eTransmit%eTransmit	Transmit model(s)	모델 전송
CustomCtrl_%CustomCtrl_%Add-Ins%eTransmit%eTransmitAbout	About	정보
CustomCtrl_%CustomCtrl_%Add-Ins%eTransmit%eTransmitHelp	Help	도움말
CustomCtrl_%CustomCtrl_%Analyze%Energy Analysis%GenerateResults	Lighting	조명
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%MNU_ROOM_GROUP_Lvl1%Add Room Group	Room Group:Add Room Group	룸 그룹:룸 그룹 추가
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%MNU_ROOM_GROUP_Lvl1%Edit Room Group	Room Group:Edit Room Group	룸 그룹:룸 그룹 편집
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Hide/Show IDs by Category	Buildingbook IDs:Hide/Show IDs by Category	Buildingbook ID:카테고리별로 ID 숨기기/표시
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Material IDs: Hide All	Buildingbook IDs:Material IDs: Hide All	Buildingbook ID:재료 ID: 모두 숨기기
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Material IDs: Show All	Buildingbook IDs:Material IDs: Show All	Buildingbook ID:재료 ID: 모두 표시
